team,score,xg,manager,captain,Year
Germany,6,2.4,Martina Voss-Tecklenburg,Alexandra Popp,2023
Morocco,0,0.2,Reynald Pedros,Ghizlane Chebbak,2023
Brazil,4,4.3,Pia Sundhage,Rafaelle,2023
Panama,0,0.2,Nacho Quintana,Natalia Mills,2023
Sweden,2,2.3,Peter Gerhardsson,Kosovare Asllani,2023
South Africa,1,1.2,Desiree Ellis,Refiloe Jane,2023
Netherlands,1,1.7,Andries Jonker,Sherida Spitse,2023
Portugal,0,0.1,Francisco Neto,Dolores Silva,2023
France,0,2.0,Hervé Renard,Wendie Renard,2023
Jamaica,0,0.2,Lorne Donaldson,Khadija Shaw,2023
United States of America,3,4.7,Vlatko Andonovski,Lindsey Horan,2023
Vietnam,0,0.0,Mai Đức Chung,Huỳnh Như,2023
Zambia,0,0.0,Bruce Mwape,Barbra Banda,2023
Japan,5,6.5,Futoshi Ikeda,Saki Kumagai,2023
England,1,2.6,Sarina Wiegman,Millie Bright,2023
Haiti,0,0.7,Nicolas Delépine,Nérilia Mondésir,2023
Denmark,1,1.1,Lars Søndergaard,Pernille Harder,2023
China PR,0,0.4,Shui Qingxia,Wang Shanshan,2023
Nigeria,0,0.5,Randy Waldrum,Chiamaka Nnadozie,2023
Canada,0,1.4,Bev Priestman,Christine Sinclair,2023
Philippines,0,0.1,Alen Stajcic,Hali Long,2023
Switzerland,2,3.1,Inka Grings,Lia Wälti,2023
Spain,3,4.7,Jorge Vilda,Ivana Andrés,2023
Costa Rica,0,0.1,Amelia Valverde,Katherine Alvarado,2023
New Zealand,1,1.7,Jitka Klimková,Ali Riley,2023
Norway,0,1.2,Hege Riise,Maren Mjelde,2023
Australia,1,1.6,Tony Gustavsson,Steph Catley,2023
Republic of Ireland,0,0.6,Vera Pauw,Katie McCabe,2023
United States of America,2,3.0,Jill Ellis,Megan Rapinoe,2019
Netherlands,0,0.2,Sarina Wiegman,Sari van Veenendaal,2019
England,1,0.9,Phil Neville,Steph Houghton,2019
Sweden,2,0.9,Peter Gerhardsson,Caroline Seger,2019
Netherlands,1,1.3,Sarina Wiegman,Sari van Veenendaal,2019
Sweden,0,0.6,Peter Gerhardsson,Caroline Seger,2019
England,1,1.7,Phil Neville,Steph Houghton,2019
United States of America,2,0.9,Jill Ellis,Alex Morgan,2019
Italy,0,1.2,Milena Bertolini,Sara Gama,2019
Netherlands,2,1.6,Sarina Wiegman,Sari van Veenendaal,2019
Germany,1,1.8,Martina Voss-Tecklenburg,Alexandra Popp,2019
Sweden,2,2.3,Peter Gerhardsson,Caroline Seger,2019
France,1,1.6,Corinne Diacre,Amandine Henry,2019
United States of America,2,1.1,Jill Ellis,Alex Morgan,2019
Norway,0,0.8,Martin Sjögren,Maren Mjelde,2019
England,3,3.4,Phil Neville,Steph Houghton,2019
Italy,2,1.4,Milena Bertolini,Sara Gama,2019
China PR,0,0.8,Jia Xiuquan,Wu Haiyan,2019
Netherlands,2,1.8,Sarina Wiegman,Sari van Veenendaal,2019
Japan,1,1.2,Asako Takemoto,Saki Kumagai,2019
Spain,1,0.2,Jorge Vilda,Irene Paredes,2019
United States of America,2,2.4,Jill Ellis,Megan Rapinoe,2019
Sweden,1,1.3,Peter Gerhardsson,Caroline Seger,2019
Canada,0,1.2,Kenneth Heiner-Møller,Christine Sinclair,2019
England,3,2.1,Phil Neville,Steph Houghton,2019
Cameroon,0,0.5,Alain Djeumfa,Gabrielle Onguene,2019
France,2,3.1,Corinne Diacre,Amandine Henry,2019
Brazil,1,1.3,Vadão,Marta,2019
Germany,3,1.8,Martina Voss-Tecklenburg,Alexandra Popp,2019
Nigeria,0,0.4,Thomas Dennerby,Desire Oparanozie,2019
Norway,1,2.2,Martin Sjögren,Maren Mjelde,2019
Australia,1,1.5,Ante Milicic,Sam Kerr,2019
Netherlands,2,1.8,Sarina Wiegman,Sari van Veenendaal,2019
Canada,1,1.3,Kenneth Heiner-Møller,Christine Sinclair,2019
Cameroon,2,3.1,Alain Djeumfa,Gabrielle Onguene,2019
New Zealand,1,0.5,Tom Sermanni,Ali Riley,2019
Sweden,0,0.4,Peter Gerhardsson,Caroline Seger,2019
United States of America,2,2.1,Jill Ellis,Alex Morgan,2019
